age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
60.0,retired,married,secondary,no,0,no,no,cellular,15,jul,94.0,3,-1,0,
35.0,management,divorced,tertiary,no,286,yes,no,cellular,15,jul,164.0,3,-1,0,
47.0,admin.,married,secondary,no,0,yes,no,cellular,15,jul,56.0,4,-1,0,
34.0,services,married,secondary,no,1005,yes,no,cellular,15,jul,274.0,3,-1,0,
31.0,blue-collar,married,secondary,no,-84,no,yes,cellular,15,jul,75.0,4,-1,0,
52.0,entrepreneur,married,secondary,yes,-36,no,yes,cellular,15,jul,199.0,4,-1,0,
43.0,entrepreneur,married,secondary,no,860,yes,yes,cellular,15,jul,131.0,5,-1,0,
38.0,entrepreneur,married,tertiary,no,7752,yes,no,cellular,15,jul,138.0,4,-1,0,
35.0,blue-collar,single,secondary,no,3508,yes,no,cellular,15,jul,94.0,3,-1,0,
53.0,management,divorced,secondary,no,425,no,no,cellular,15,jul,416.0,3,-1,0,
34.0,housemaid,married,secondary,no,390,yes,no,cellular,15,jul,659.0,3,-1,0,
34.0,technician,married,secondary,no,223,yes,no,cellular,15,jul,202.0,3,-1,0,
41.0,blue-collar,married,,no,402,yes,no,cellular,15,jul,368.0,2,-1,0,
37.0,housemaid,married,primary,no,0,no,yes,telephone,15,jul,265.0,4,-1,0,
61.0,retired,married,secondary,no,76,yes,no,cellular,15,jul,195.0,7,-1,0,
45.0,technician,married,,no,557,yes,no,cellular,15,jul,80.0,4,-1,0,
50.0,blue-collar,married,secondary,no,-731,yes,no,cellular,15,jul,401.0,4,-1,0,
44.0,admin.,married,secondary,no,100,yes,no,cellular,15,jul,71.0,4,-1,0,
59.0,retired,married,primary,no,-90,no,yes,telephone,15,jul,41.0,5,-1,0,
37.0,management,single,tertiary,no,24,no,no,cellular,15,jul,280.0,5,-1,0,
44.0,entrepreneur,married,tertiary,no,468,yes,yes,telephone,15,jul,289.0,2,-1,0,
38.0,self-employed,married,tertiary,no,0,no,yes,cellular,15,jul,77.0,3,-1,0,
41.0,management,married,tertiary,no,4,yes,no,cellular,15,jul,63.0,2,-1,0,
45.0,admin.,married,secondary,no,0,no,yes,telephone,15,jul,,3,-1,0,
26.0,blue-collar,married,secondary,no,155,no,yes,cellular,15,jul,76.0,3,-1,0,
25.0,services,single,secondary,no,333,no,yes,cellular,15,jul,1056.0,2,-1,0,
33.0,services,divorced,,no,392,yes,no,cellular,15,jul,753.0,4,-1,0,
56.0,admin.,married,secondary,no,105,no,no,telephone,15,jul,80.0,2,-1,0,
29.0,housemaid,married,primary,no,0,yes,no,cellular,15,jul,317.0,3,-1,0,
35.0,blue-collar,divorced,secondary,no,0,no,no,cellular,15,jul,129.0,2,-1,0,
59.0,blue-collar,divorced,secondary,no,0,no,yes,cellular,15,jul,237.0,4,-1,0,
38.0,services,single,secondary,no,164,no,yes,cellular,15,jul,188.0,3,-1,0,
58.0,management,married,tertiary,no,3864,yes,no,cellular,15,jul,815.0,4,-1,0,
40.0,entrepreneur,single,secondary,no,5,no,yes,cellular,15,jul,117.0,3,-1,0,
37.0,management,married,tertiary,no,1094,yes,no,cellular,15,jul,101.0,2,-1,0,
48.0,management,married,tertiary,no,269,yes,no,cellular,15,jul,109.0,2,-1,0,
41.0,technician,married,secondary,no,1321,yes,no,cellular,15,jul,315.0,2,-1,0,
42.0,management,married,tertiary,no,843,no,yes,cellular,15,jul,226.0,3,-1,0,
26.0,services,married,secondary,yes,27,yes,no,telephone,15,jul,49.0,3,-1,0,
,retired,married,secondary,no,509,yes,no,cellular,15,jul,121.0,4,-1,0,
60.0,retired,married,secondary,no,1091,no,yes,telephone,15,jul,778.0,3,-1,0,
41.0,housemaid,married,secondary,no,0,yes,yes,cellular,15,jul,368.0,4,-1,0,
40.0,entrepreneur,married,secondary,no,0,no,yes,cellular,15,jul,103.0,4,-1,0,
46.0,services,married,secondary,no,311,yes,yes,cellular,15,jul,232.0,3,-1,0,
43.0,admin.,married,secondary,no,59,yes,no,cellular,15,jul,60.0,3,-1,0,
42.0,management,married,tertiary,no,-100,yes,no,cellular,15,jul,87.0,5,-1,0,
31.0,admin.,married,secondary,no,10,no,no,cellular,15,jul,156.0,4,-1,0,
56.0,unemployed,divorced,primary,no,109,no,no,cellular,15,jul,924.0,4,-1,0,
29.0,technician,married,,no,2,no,no,cellular,15,jul,65.0,3,-1,0,
32.0,management,single,tertiary,no,752,yes,no,cellular,15,jul,256.0,5,-1,0,
51.0,self-employed,married,tertiary,no,146,no,no,cellular,15,jul,132.0,3,-1,0,
60.0,management,divorced,tertiary,yes,20,no,yes,telephone,15,jul,207.0,3,-1,0,
53.0,blue-collar,married,secondary,no,0,no,yes,telephone,15,jul,152.0,4,-1,0,
34.0,blue-collar,married,secondary,no,291,yes,no,cellular,15,jul,646.0,4,-1,0,
30.0,entrepreneur,married,primary,no,2686,yes,no,cellular,15,jul,808.0,3,-1,0,
31.0,management,married,tertiary,no,582,yes,no,cellular,15,jul,58.0,2,-1,0,
42.0,blue-collar,single,secondary,no,-178,yes,no,cellular,15,jul,178.0,3,-1,0,
42.0,admin.,married,secondary,no,-1386,yes,yes,cellular,15,jul,56.0,4,-1,0,
43.0,management,married,tertiary,no,348,no,yes,cellular,15,jul,88.0,3,-1,0,
54.0,retired,divorced,secondary,no,-57,no,yes,cellular,15,jul,364.0,10,-1,0,
57.0,technician,married,secondary,no,458,no,yes,cellular,15,jul,177.0,3,-1,0,
38.0,management,married,tertiary,no,465,yes,yes,cellular,15,jul,156.0,4,-1,0,
27.0,unemployed,married,secondary,no,1228,no,no,cellular,15,jul,77.0,2,-1,0,
53.0,blue-collar,married,primary,no,4143,no,no,cellular,15,jul,200.0,3,-1,0,
46.0,technician,married,secondary,no,1590,yes,no,cellular,15,jul,59.0,2,-1,0,
29.0,blue-collar,married,secondary,no,162,yes,no,cellular,15,jul,126.0,3,-1,0,
53.0,retired,married,secondary,no,1278,yes,no,telephone,15,jul,174.0,3,-1,0,
42.0,management,married,tertiary,no,0,yes,no,cellular,15,jul,133.0,4,-1,0,
53.0,blue-collar,married,primary,no,38,no,yes,cellular,15,jul,321.0,5,-1,0,
36.0,services,married,secondary,no,0,yes,yes,cellular,15,jul,201.0,4,-1,0,
36.0,housemaid,married,secondary,no,0,no,yes,telephone,15,jul,571.0,3,-1,0,
36.0,management,single,tertiary,no,854,yes,yes,cellular,15,jul,503.0,6,-1,0,
57.0,admin.,married,secondary,no,1275,no,yes,cellular,15,jul,377.0,4,-1,0,
33.0,technician,married,tertiary,no,-988,yes,yes,cellular,15,jul,83.0,3,-1,0,
58.0,technician,married,secondary,no,0,yes,no,cellular,15,jul,53.0,1,-1,0,
47.0,blue-collar,married,primary,no,683,yes,no,cellular,15,jul,106.0,12,-1,0,
47.0,management,divorced,tertiary,no,1149,no,yes,cellular,15,jul,82.0,2,-1,0,
40.0,blue-collar,married,secondary,no,299,yes,no,cellular,15,jul,180.0,4,-1,0,
41.0,technician,married,secondary,no,1838,yes,no,cellular,15,jul,135.0,1,-1,0,
34.0,services,married,secondary,no,29,yes,no,cellular,15,jul,387.0,5,-1,0,
45.0,self-employed,married,tertiary,no,0,yes,yes,cellular,15,jul,372.0,4,-1,0,
31.0,blue-collar,married,secondary,no,-112,no,yes,cellular,15,jul,128.0,1,-1,0,
34.0,blue-collar,single,primary,no,-109,yes,no,cellular,15,jul,860.0,4,-1,0,
47.0,housemaid,married,primary,no,0,yes,no,telephone,15,jul,162.0,1,-1,0,
25.0,services,single,secondary,no,-352,no,no,cellular,15,jul,246.0,1,-1,0,
46.0,management,married,tertiary,no,182,no,no,cellular,15,jul,317.0,1,-1,0,
42.0,blue-collar,married,secondary,no,1,no,no,cellular,15,jul,462.0,1,-1,0,
48.0,blue-collar,married,secondary,no,729,yes,no,telephone,15,jul,277.0,1,-1,0,
37.0,admin.,married,secondary,no,0,yes,no,telephone,15,jul,280.0,6,-1,0,
29.0,management,married,tertiary,no,0,yes,yes,cellular,15,jul,218.0,1,-1,0,
32.0,self-employed,married,secondary,no,217,yes,yes,cellular,15,jul,317.0,5,-1,0,
57.0,retired,married,primary,no,1238,yes,no,cellular,15,jul,274.0,1,-1,0,
34.0,management,married,tertiary,no,160,yes,yes,cellular,15,jul,130.0,1,-1,0,
47.0,blue-collar,married,primary,no,185,no,no,cellular,15,jul,116.0,5,-1,0,
47.0,management,single,tertiary,no,512,no,no,cellular,15,jul,98.0,2,-1,0,
28.0,student,married,tertiary,no,1,no,no,cellular,15,jul,92.0,4,-1,0,
41.0,technician,married,secondary,no,10438,yes,no,telephone,15,jul,141.0,4,-1,0,
34.0,technician,married,secondary,no,0,yes,no,cellular,15,jul,144.0,1,-1,0,
36.0,blue-collar,married,secondary,no,0,no,no,cellular,15,jul,794.0,1,-1,0,
44.0,admin.,divorced,secondary,no,4353,yes,no,cellular,15,jul,90.0,1,-1,0,
43.0,management,single,tertiary,no,8224,yes,no,cellular,15,jul,70.0,1,-1,0,
45.0,blue-collar,divorced,primary,no,-207,no,no,cellular,15,jul,878.0,2,-1,0,
52.0,self-employed,single,primary,no,217,no,yes,cellular,15,jul,193.0,6,-1,0,
27.0,services,single,secondary,no,1928,no,yes,cellular,15,jul,513.0,5,-1,0,
27.0,technician,single,,no,59,no,no,cellular,15,jul,792.0,4,-1,0,
28.0,unemployed,single,secondary,no,-34,no,no,cellular,15,jul,355.0,1,-1,0,
51.0,services,divorced,secondary,no,65,no,yes,cellular,15,jul,881.0,1,-1,0,
29.0,services,single,secondary,no,153,no,no,cellular,15,jul,734.0,2,-1,0,
60.0,retired,married,secondary,no,597,no,no,cellular,15,jul,981.0,1,-1,0,
39.0,blue-collar,married,secondary,no,0,yes,no,cellular,15,jul,103.0,4,-1,0,
46.0,blue-collar,married,primary,no,174,no,yes,cellular,15,jul,90.0,1,-1,0,
32.0,management,divorced,tertiary,no,222,no,yes,cellular,15,jul,820.0,4,-1,0,
51.0,entrepreneur,married,secondary,no,-799,no,yes,cellular,15,jul,1001.0,3,-1,0,
37.0,unemployed,single,secondary,no,1020,yes,no,cellular,15,jul,348.0,1,-1,0,
59.0,housemaid,divorced,secondary,no,122,no,no,cellular,15,jul,129.0,1,-1,0,
36.0,management,married,tertiary,no,287,yes,yes,cellular,15,jul,119.0,5,-1,0,
33.0,student,single,tertiary,no,71,no,no,cellular,15,jul,94.0,4,-1,0,
45.0,services,married,secondary,no,24,yes,no,cellular,15,jul,192.0,3,-1,0,
27.0,admin.,single,secondary,no,454,no,yes,cellular,15,jul,331.0,2,-1,0,
36.0,blue-collar,married,secondary,no,-231,no,yes,cellular,15,jul,779.0,2,-1,0,
29.0,management,married,tertiary,no,0,yes,no,telephone,15,jul,91.0,2,-1,0,
43.0,entrepreneur,married,tertiary,no,1,yes,yes,cellular,15,jul,61.0,2,-1,0,
35.0,management,married,tertiary,no,300,yes,no,cellular,15,jul,555.0,2,-1,0,
41.0,admin.,married,tertiary,no,226,yes,no,cellular,15,jul,157.0,5,-1,0,
25.0,technician,single,secondary,no,534,no,no,cellular,15,jul,167.0,7,-1,0,
36.0,management,single,tertiary,no,112,yes,no,cellular,15,jul,83.0,2,-1,0,
43.0,technician,single,tertiary,no,1154,no,no,cellular,15,jul,603.0,11,-1,0,
60.0,management,married,primary,no,0,yes,no,cellular,15,jul,111.0,8,-1,0,
31.0,unemployed,married,secondary,no,31,yes,no,cellular,15,jul,211.0,6,-1,0,
38.0,housemaid,married,secondary,no,0,no,no,cellular,15,jul,105.0,7,-1,0,
37.0,management,divorced,tertiary,no,1775,no,no,cellular,15,jul,514.0,5,-1,0,
35.0,entrepreneur,married,secondary,no,313,yes,no,cellular,15,jul,479.0,1,-1,0,
49.0,retired,divorced,secondary,no,-268,yes,no,cellular,15,jul,111.0,5,-1,0,
45.0,management,married,tertiary,no,0,no,yes,cellular,15,jul,112.0,4,-1,0,
49.0,services,married,,no,463,yes,no,telephone,15,jul,541.0,2,-1,0,
44.0,entrepreneur,married,secondary,no,4389,yes,no,cellular,15,jul,149.0,4,-1,0,
32.0,blue-collar,divorced,primary,no,142,yes,no,cellular,15,jul,257.0,5,-1,0,
57.0,blue-collar,divorced,secondary,no,1103,yes,no,cellular,15,jul,98.0,4,-1,0,
40.0,management,married,tertiary,no,-37,no,yes,cellular,15,jul,408.0,4,-1,0,
32.0,technician,married,tertiary,no,4654,yes,yes,cellular,15,jul,134.0,2,-1,0,
36.0,entrepreneur,married,tertiary,no,84,no,yes,cellular,15,jul,306.0,14,-1,0,
48.0,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159.0,2,-1,0,
31.0,blue-collar,married,secondary,no,0,no,yes,telephone,15,jul,275.0,2,-1,0,
,retired,married,tertiary,no,4104,no,no,cellular,15,jul,68.0,8,-1,0,
53.0,technician,divorced,secondary,no,0,yes,yes,cellular,15,jul,135.0,5,-1,0,
30.0,blue-collar,single,primary,no,0,no,no,cellular,15,jul,716.0,3,-1,0,
42.0,technician,married,secondary,no,0,yes,yes,cellular,15,jul,257.0,5,-1,0,
39.0,management,divorced,tertiary,no,5009,yes,no,cellular,15,jul,1083.0,2,-1,0,
41.0,blue-collar,divorced,primary,no,664,no,yes,cellular,15,jul,955.0,5,-1,0,
44.0,blue-collar,divorced,secondary,no,-1,no,yes,cellular,15,jul,194.0,5,-1,0,
42.0,services,married,secondary,no,0,no,no,cellular,15,jul,194.0,4,-1,0,
56.0,management,married,primary,no,17,yes,no,cellular,15,jul,123.0,4,-1,0,
32.0,admin.,married,secondary,no,3,yes,yes,cellular,15,jul,612.0,4,-1,0,
36.0,blue-collar,divorced,secondary,no,7051,no,yes,cellular,15,jul,106.0,13,-1,0,
55.0,retired,married,primary,no,4459,no,no,cellular,15,jul,85.0,8,-1,0,
31.0,blue-collar,married,primary,no,0,yes,no,telephone,15,jul,237.0,7,-1,0,
31.0,technician,married,secondary,no,303,yes,no,cellular,15,jul,196.0,4,-1,0,
39.0,blue-collar,married,secondary,no,345,yes,no,cellular,15,jul,179.0,3,-1,0,
41.0,blue-collar,married,primary,no,8,yes,no,cellular,15,jul,155.0,2,-1,0,
40.0,management,married,secondary,no,4025,yes,no,cellular,15,jul,107.0,4,-1,0,
38.0,blue-collar,single,secondary,no,340,no,yes,cellular,15,jul,260.0,5,-1,0,
36.0,services,divorced,secondary,yes,0,no,yes,cellular,15,jul,687.0,7,-1,0,
39.0,admin.,married,secondary,no,1388,yes,no,cellular,15,jul,150.0,5,-1,0,
28.0,admin.,married,secondary,no,317,yes,no,cellular,15,jul,673.0,2,-1,0,
30.0,admin.,married,secondary,no,0,no,no,cellular,15,jul,127.0,5,-1,0,
54.0,retired,divorced,secondary,no,13,yes,no,cellular,15,jul,197.0,2,-1,0,
49.0,blue-collar,divorced,secondary,no,4177,yes,no,cellular,15,jul,275.0,4,-1,0,
36.0,services,married,secondary,no,297,yes,yes,cellular,15,jul,157.0,5,-1,0,
50.0,admin.,married,secondary,no,219,yes,no,cellular,15,jul,419.0,7,-1,0,
38.0,technician,married,secondary,no,0,yes,yes,cellular,15,jul,146.0,4,-1,0,
38.0,technician,divorced,tertiary,no,1425,yes,no,cellular,15,jul,347.0,4,-1,0,
36.0,entrepreneur,married,secondary,no,185,yes,no,cellular,15,jul,136.0,2,-1,0,
54.0,blue-collar,married,primary,no,126,yes,no,cellular,15,jul,357.0,4,-1,0,
35.0,admin.,single,tertiary,no,2622,no,no,cellular,15,jul,374.0,5,-1,0,
33.0,admin.,married,secondary,no,0,yes,no,cellular,15,jul,120.0,6,-1,0,
35.0,admin.,married,secondary,no,348,yes,yes,cellular,15,jul,323.0,3,-1,0,
31.0,self-employed,single,secondary,no,0,yes,no,cellular,15,jul,364.0,2,-1,0,
36.0,blue-collar,married,secondary,no,3420,yes,no,cellular,15,jul,98.0,2,-1,0,
30.0,management,married,tertiary,no,11,no,no,cellular,15,jul,84.0,5,-1,0,
45.0,technician,married,secondary,no,1786,yes,yes,telephone,15,jul,78.0,4,-1,0,
50.0,management,married,tertiary,no,2629,yes,no,telephone,15,jul,59.0,4,-1,0,
45.0,blue-collar,single,primary,yes,-183,no,yes,cellular,15,jul,395.0,4,-1,0,
39.0,technician,single,tertiary,no,1531,no,no,telephone,15,jul,543.0,6,-1,0,
58.0,retired,married,secondary,no,19,no,yes,cellular,15,jul,106.0,3,-1,0,
54.0,entrepreneur,married,secondary,no,0,no,yes,cellular,15,jul,209.0,4,-1,0,
37.0,blue-collar,married,primary,no,20,no,yes,telephone,15,jul,469.0,4,-1,0,
31.0,management,divorced,secondary,no,0,yes,no,cellular,15,jul,,7,-1,0,
46.0,entrepreneur,divorced,secondary,no,-563,no,yes,cellular,15,jul,769.0,4,-1,0,
37.0,technician,married,secondary,no,729,yes,no,cellular,15,jul,115.0,5,-1,0,
29.0,student,single,tertiary,no,5,no,no,cellular,15,jul,889.0,5,-1,0,
35.0,management,single,tertiary,no,635,no,no,cellular,15,jul,547.0,12,-1,0,
25.0,blue-collar,married,secondary,no,0,no,yes,cellular,15,jul,1424.0,4,-1,0,
35.0,management,married,secondary,no,0,yes,no,cellular,15,jul,490.0,5,-1,0,
39.0,management,married,tertiary,no,285,yes,no,cellular,15,jul,838.0,3,-1,0,
40.0,services,married,secondary,no,884,no,no,cellular,15,jul,166.0,4,-1,0,
58.0,retired,married,tertiary,no,4048,no,yes,cellular,15,jul,270.0,5,-1,0,
46.0,entrepreneur,married,tertiary,no,406,yes,no,telephone,15,jul,232.0,4,-1,0,
49.0,housemaid,married,primary,no,278,yes,no,telephone,15,jul,112.0,6,-1,0,
36.0,admin.,married,secondary,no,898,no,no,cellular,15,jul,118.0,5,-1,0,
33.0,technician,single,secondary,no,-325,yes,no,cellular,15,jul,159.0,6,-1,0,
52.0,services,married,secondary,no,497,yes,no,telephone,15,jul,265.0,5,-1,0,
42.0,blue-collar,divorced,secondary,no,667,yes,no,cellular,15,jul,419.0,8,-1,0,
31.0,technician,married,secondary,no,0,no,yes,cellular,15,jul,624.0,6,-1,0,
54.0,technician,divorced,secondary,no,765,yes,yes,cellular,15,jul,812.0,3,-1,0,
44.0,management,married,tertiary,no,764,no,yes,cellular,15,jul,97.0,5,-1,0,
47.0,student,single,,no,107,no,no,telephone,15,jul,119.0,8,-1,0,
27.0,entrepreneur,married,tertiary,no,139,no,no,cellular,15,jul,448.0,5,-1,0,
35.0,blue-collar,single,secondary,no,885,yes,no,cellular,15,jul,632.0,6,-1,0,
37.0,management,married,tertiary,no,6014,yes,no,cellular,15,jul,163.0,6,-1,0,
51.0,blue-collar,married,secondary,no,463,yes,yes,cellular,15,jul,114.0,4,-1,0,
38.0,management,single,tertiary,no,83,no,yes,telephone,15,jul,32.0,7,-1,0,
52.0,admin.,married,secondary,no,82,yes,yes,telephone,15,jul,1142.0,4,-1,0,
43.0,technician,single,secondary,no,326,yes,no,cellular,15,jul,87.0,8,-1,0,
53.0,blue-collar,married,secondary,no,6258,yes,no,telephone,15,jul,62.0,5,-1,0,
60.0,entrepreneur,married,secondary,no,480,no,yes,telephone,15,jul,341.0,6,-1,0,
36.0,services,married,secondary,no,321,yes,no,cellular,15,jul,160.0,2,-1,0,
25.0,blue-collar,single,secondary,no,377,no,no,cellular,15,jul,1412.0,4,-1,0,
37.0,services,single,secondary,no,459,no,no,telephone,16,jul,61.0,14,-1,0,
39.0,management,married,tertiary,no,0,no,no,telephone,16,jul,41.0,6,-1,0,
36.0,services,married,secondary,no,0,yes,no,cellular,16,jul,276.0,4,-1,0,
44.0,admin.,married,secondary,no,345,yes,no,telephone,16,jul,208.0,8,-1,0,
45.0,management,married,tertiary,no,1063,yes,no,cellular,16,jul,41.0,4,-1,0,
32.0,technician,single,secondary,no,210,yes,no,cellular,16,jul,298.0,2,-1,0,
28.0,management,single,tertiary,no,0,yes,no,cellular,16,jul,767.0,5,-1,0,
36.0,management,married,tertiary,no,446,yes,no,telephone,16,jul,174.0,5,-1,0,
29.0,blue-collar,married,secondary,no,0,yes,no,cellular,16,jul,186.0,4,-1,0,
53.0,technician,married,secondary,no,2818,yes,no,cellular,16,jul,350.0,7,-1,0,
48.0,services,married,secondary,no,300,no,yes,cellular,16,jul,52.0,8,-1,0,
49.0,housemaid,married,primary,no,0,no,no,telephone,16,jul,46.0,8,-1,0,
30.0,technician,married,,no,0,yes,no,cellular,16,jul,510.0,3,-1,0,
51.0,blue-collar,married,primary,no,-11,no,no,telephone,16,jul,126.0,4,-1,0,
38.0,management,married,tertiary,no,500,yes,yes,cellular,16,jul,81.0,7,-1,0,
37.0,technician,married,secondary,no,177,yes,no,cellular,16,jul,464.0,3,-1,0,
44.0,services,married,secondary,no,850,no,yes,cellular,16,jul,220.0,5,-1,0,
57.0,services,married,secondary,no,-37,no,yes,telephone,16,jul,31.0,6,-1,0,
37.0,management,single,tertiary,no,2265,yes,no,cellular,16,jul,64.0,1,-1,0,
,management,married,tertiary,no,1293,no,no,telephone,16,jul,188.0,3,-1,0,
33.0,services,married,secondary,no,346,yes,no,cellular,16,jul,172.0,1,-1,0,
52.0,services,married,secondary,no,-888,no,no,cellular,16,jul,135.0,1,-1,0,
33.0,unemployed,married,secondary,no,2,yes,no,cellular,16,jul,132.0,1,-1,0,
28.0,services,single,secondary,no,0,no,yes,cellular,16,jul,133.0,1,-1,0,
41.0,entrepreneur,married,tertiary,no,143,no,yes,cellular,16,jul,141.0,1,-1,0,
35.0,blue-collar,married,secondary,no,4,yes,yes,cellular,16,jul,130.0,6,-1,0,
32.0,housemaid,married,primary,no,67,yes,no,cellular,16,jul,95.0,4,-1,0,
35.0,blue-collar,married,primary,no,319,yes,no,cellular,16,jul,221.0,1,-1,0,
52.0,management,divorced,primary,no,92,no,yes,cellular,16,jul,469.0,7,-1,0,
56.0,blue-collar,married,primary,no,563,no,no,telephone,16,jul,51.0,1,-1,0,
34.0,blue-collar,single,secondary,no,855,yes,no,cellular,16,jul,578.0,1,-1,0,
51.0,retired,married,primary,no,34,yes,no,cellular,16,jul,69.0,2,-1,0,
54.0,retired,divorced,secondary,no,2761,no,no,cellular,16,jul,771.0,1,-1,0,
57.0,services,married,primary,no,1728,yes,no,telephone,16,jul,164.0,1,-1,0,
56.0,blue-collar,married,secondary,no,0,no,yes,cellular,16,jul,390.0,2,-1,0,
45.0,blue-collar,single,secondary,yes,0,no,yes,cellular,16,jul,154.0,2,-1,0,
57.0,entrepreneur,married,tertiary,no,7699,no,yes,cellular,16,jul,178.0,1,-1,0,
37.0,entrepreneur,married,primary,no,8,yes,yes,cellular,16,jul,46.0,1,-1,0,
34.0,entrepreneur,married,tertiary,no,-28,yes,no,cellular,16,jul,574.0,1,-1,0,
31.0,services,married,secondary,no,-230,yes,yes,cellular,16,jul,715.0,1,-1,0,
47.0,technician,single,secondary,no,1710,no,yes,cellular,16,jul,525.0,2,-1,0,
35.0,management,single,tertiary,no,-353,yes,no,cellular,16,jul,70.0,1,-1,0,
31.0,technician,single,secondary,no,35,no,yes,cellular,16,jul,229.0,1,-1,0,
29.0,blue-collar,single,,no,694,yes,yes,cellular,16,jul,1806.0,4,-1,0,
42.0,technician,married,secondary,no,422,yes,no,cellular,16,jul,400.0,1,-1,0,
26.0,admin.,divorced,secondary,no,1,no,no,cellular,16,jul,92.0,1,-1,0,
33.0,blue-collar,married,primary,no,208,yes,no,cellular,16,jul,284.0,1,-1,0,
36.0,management,married,tertiary,no,64,no,no,cellular,16,jul,130.0,1,-1,0,
47.0,blue-collar,married,,no,496,no,yes,cellular,16,jul,151.0,4,-1,0,
37.0,technician,divorced,secondary,no,0,yes,no,cellular,16,jul,46.0,1,-1,0,
56.0,management,divorced,tertiary,no,-563,no,no,cellular,16,jul,79.0,1,-1,0,
31.0,self-employed,married,tertiary,no,81,yes,no,cellular,16,jul,57.0,8,-1,0,
35.0,management,married,tertiary,no,-273,yes,no,cellular,16,jul,344.0,3,-1,0,
34.0,management,single,tertiary,no,431,no,no,cellular,16,jul,401.0,1,-1,0,
46.0,blue-collar,married,primary,no,327,no,yes,cellular,16,jul,145.0,4,-1,0,
42.0,technician,married,secondary,no,11,yes,no,cellular,16,jul,272.0,1,-1,0,
60.0,admin.,married,primary,no,686,yes,yes,cellular,16,jul,122.0,1,-1,0,
32.0,blue-collar,divorced,secondary,no,8,yes,no,cellular,16,jul,226.0,1,-1,0,
41.0,management,married,tertiary,no,0,no,yes,cellular,16,jul,211.0,2,-1,0,
56.0,blue-collar,married,secondary,no,-199,no,yes,cellular,16,jul,428.0,2,-1,0,
54.0,blue-collar,married,secondary,no,0,no,yes,cellular,16,jul,156.0,1,-1,0,
29.0,management,married,tertiary,no,465,yes,no,cellular,16,jul,191.0,1,-1,0,
31.0,management,single,tertiary,no,38279,no,no,cellular,16,jul,225.0,2,-1,0,
27.0,management,single,tertiary,no,151,yes,no,cellular,16,jul,496.0,1,-1,0,
32.0,technician,single,secondary,yes,0,no,yes,cellular,16,jul,195.0,1,-1,0,
25.0,services,single,tertiary,no,130,yes,no,cellular,16,jul,49.0,1,-1,0,
26.0,technician,single,secondary,no,354,no,no,cellular,16,jul,586.0,1,-1,0,
40.0,self-employed,single,tertiary,no,-94,yes,no,cellular,16,jul,90.0,1,-1,0,
36.0,management,married,tertiary,no,673,yes,no,cellular,16,jul,689.0,1,-1,0,
51.0,services,married,secondary,no,1605,yes,no,cellular,16,jul,94.0,3,-1,0,
58.0,management,married,tertiary,no,299,no,no,cellular,16,jul,120.0,4,-1,0,
58.0,blue-collar,married,,no,2516,yes,no,cellular,16,jul,303.0,1,-1,0,
56.0,self-employed,married,secondary,no,14,no,no,cellular,16,jul,239.0,1,-1,0,
28.0,blue-collar,married,primary,no,0,yes,no,cellular,16,jul,129.0,2,-1,0,
45.0,blue-collar,married,primary,no,512,no,no,telephone,16,jul,98.0,1,-1,0,
44.0,blue-collar,married,primary,no,1265,yes,no,cellular,16,jul,555.0,1,-1,0,
28.0,admin.,married,secondary,yes,105,no,no,cellular,16,jul,130.0,1,-1,0,
45.0,technician,single,secondary,no,-55,no,no,cellular,16,jul,124.0,1,-1,0,
,blue-collar,married,tertiary,no,597,no,no,cellular,16,jul,686.0,6,-1,0,
40.0,admin.,married,secondary,no,0,no,no,cellular,16,jul,29.0,8,-1,0,
39.0,entrepreneur,married,secondary,yes,0,no,no,cellular,16,jul,528.0,9,-1,0,
,self-employed,single,secondary,no,166,yes,no,cellular,16,jul,83.0,2,-1,0,
59.0,management,married,tertiary,no,3998,yes,no,cellular,16,jul,60.0,1,-1,0,
45.0,services,married,,no,318,no,no,cellular,16,jul,63.0,2,-1,0,
41.0,entrepreneur,married,tertiary,no,340,yes,no,cellular,16,jul,206.0,2,-1,0,
37.0,blue-collar,married,secondary,no,0,no,no,cellular,16,jul,1150.0,1,-1,0,
37.0,entrepreneur,married,tertiary,no,1027,yes,no,cellular,16,jul,294.0,2,-1,0,
30.0,technician,married,secondary,no,-393,yes,yes,cellular,16,jul,435.0,1,-1,0,
36.0,management,single,tertiary,no,0,yes,no,cellular,16,jul,155.0,2,-1,0,
25.0,services,single,secondary,no,93,no,no,cellular,16,jul,130.0,1,-1,0,
57.0,management,married,tertiary,no,29,no,yes,cellular,16,jul,294.0,1,-1,0,
26.0,blue-collar,single,secondary,no,-188,no,no,telephone,16,jul,198.0,1,-1,0,
31.0,technician,divorced,secondary,no,105,yes,no,cellular,16,jul,72.0,1,-1,0,
38.0,services,married,secondary,no,-768,yes,yes,cellular,16,jul,57.0,2,-1,0,
36.0,blue-collar,married,secondary,no,324,yes,yes,cellular,16,jul,830.0,1,-1,0,
40.0,technician,married,secondary,no,6,yes,no,cellular,16,jul,464.0,1,-1,0,
27.0,services,married,secondary,no,100,no,no,cellular,16,jul,57.0,2,-1,0,
