brand,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Tata,Tigor,2019.0,900000.0,8079,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1047 CC,69 bhp,5.0
Toyota,Innova,2015.0,1325000.0,114368,Diesel,Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0
Ford,Fiesta,2012.0,350000.0,79990,Diesel,Dealer,Manual,Second Owner,17.8 kmpl,1399 CC,67 bhp,5.0
Ford,Figo,2012.0,425000.0,81632,Diesel,Dealer,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0
Ford,Aspire,2016.0,600000.0,155201,Diesel,Dealer,Manual,First Owner,26.1 kmpl,1498 CC,99.23 bhp,5.0
Ford,Ecosport,2014.0,750000.0,101504,Diesel,Dealer,Manual,First Owner,22.7 kmpl,1498 CC,89.84 bhp,5.0
Ford,Fiesta,2012.0,450000.0,90165,Diesel,Dealer,Manual,First Owner,17.8 kmpl,1399 CC,67 bhp,5.0
Ford,Figo,2010.0,325000.0,86017,Diesel,Dealer,Manual,Second Owner,25.5 kmpl,1498 CC,99.23 bhp,5.0
Mahindra,XUV500,2013.0,900000.0,85036,Diesel,Dealer,Manual,Second Owner,15.1 kmpl,2179 CC,140 bhp,7.0
Ford,EcoSport,2013.0,,125531,Diesel,Dealer,Manual,Second Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0
Hyundai,Verna,2019.0,1100000.0,10000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5.0
Tata,Tiago,2017.0,520000.0,20000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,5.0
Mahindra,Scorpio,2015.0,885000.0,170000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,7.0
Tata,,2018.0,950000.0,40000,Diesel,Individual,Automatic,First Owner,21.5 kmpl,1497 CC,108.5 bhp,5.0
Honda,City,2008.0,229999.0,120000,Petrol,Individual,Manual,Second Owner,17.0 kmpl,1497 CC,118 bhp,5.0
Maruti,,2013.0,409999.0,100000,Diesel,Individual,Manual,Third Owner,23.2 kmpl,1248 CC,73.94 bhp,5.0
Ford,Fiesta,2011.0,300000.0,110000,Diesel,Individual,Manual,Third Owner,17.8 kmpl,1399 CC,68 bhp,5.0
Tata,Indica,2008.0,175000.0,120000,Diesel,Individual,Manual,Third Owner,16.8 kmpl,1405 CC,68 bhp,5.0
Maruti,Alto,2000.0,108000.0,206000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Maruti,Celerio,2017.0,425000.0,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
Chevrolet,Optra,2011.0,272000.0,170000,Diesel,Individual,Manual,Fourth & Above Owner,16.52 kmpl,1991 CC,123.7 bhp,5.0
Hyundai,i10,2013.0,310000.0,70000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0
Hyundai,Creta,2017.0,1125000.0,105000,Diesel,Individual,Manual,First Owner,21.38 kmpl,1396 CC,88.7 bhp,5.0
Hyundai,Xcent,2014.0,450000.0,46000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,81.86 bhp,5.0
Volkswagen,Polo,2011.0,388000.0,80000,Diesel,Individual,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,5.0
Hyundai,Verna,2011.0,400000.0,60000,Petrol,Individual,Manual,First Owner,16.2 kmpl,1599 CC,103.2 bhp,5.0
Honda,City,2015.0,760000.0,70000,Diesel,Individual,Manual,Third Owner,25.1 kmpl,1498 CC,98.6 bhp,5.0
Maruti,Alto,2009.0,120000.0,90000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Maruti,Swift,2019.0,757000.0,25000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0
Maruti,Alto,2015.0,270000.0,53000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
Tata,Sumo,2011.0,250000.0,90000,Diesel,Individual,Manual,Second Owner,13.55 kmpl,2179 CC,118.35 bhp,7.0
Toyota,Innova,2011.0,800000.0,60000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,7.0
Toyota,Fortuner,2014.0,1380000.0,150000,Diesel,Individual,Manual,First Owner,13.0 kmpl,2982 CC,168.5 bhp,7.0
Mahindra,Thar,2014.0,700000.0,24000,Diesel,Individual,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,6.0
Honda,Mobilio,2016.0,450000.0,100000,Diesel,Individual,Manual,Second Owner,24.2 kmpl,1498 CC,98.6 bhp,7.0
Mahindra,,2018.0,650000.0,6000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,6.0
Mahindra,XUV500,2013.0,950000.0,49700,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,7.0
Toyota,Innova,2007.0,626000.0,80000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,7.0
Maruti,Swift,2019.0,600000.0,10000,Petrol,Individual,Automatic,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0
Renault,KWID,2019.0,290000.0,21000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
Maruti,Alto,2013.0,215000.0,25000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
Renault,KWID,2016.0,250000.0,22000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
Maruti,Ertiga,2017.0,750000.0,50000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7.0
Maruti,Alto,2016.0,250000.0,20000,Petrol,Individual,Manual,Second Owner,23.95 kmpl,998 CC,67.05 bhp,5.0
Honda,BRV,2017.0,950000.0,15000,Petrol,Individual,Automatic,First Owner,15.4 kmpl,1497 CC,117.3 bhp,7.0
Ford,Figo,,793000.0,30000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,5.0
Hyundai,Creta,2015.0,750000.0,74000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5.0
Honda,Jazz,2017.0,725000.0,6550,Petrol,Individual,Automatic,First Owner,18.2 kmpl,1199 CC,88.7 bhp,5.0
Hyundai,Grand,2016.0,480000.0,30000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,5.0
BMW,X6,2013.0,,56000,Diesel,Dealer,Automatic,First Owner,11.2 kmpl,2993 CC,241 bhp,4.0
,Swift,2018.0,795000.0,41779,Petrol,Dealer,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0
,Jazz,2016.0,625000.0,54000,Petrol,Dealer,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,5.0
,E-Class,2016.0,2900000.0,31000,Diesel,Dealer,Automatic,First Owner,13.0 kmpl,2143 CC,204 bhp,5.0
Maruti,Ignis,2017.0,625000.0,37000,Diesel,Individual,Automatic,First Owner,26.8 kmpl,1248 CC,74 bhp,5.0
Chevrolet,Cruze,2011.0,440000.0,90000,Diesel,Individual,Automatic,Second Owner,18.1 kmpl,1991 CC,147.9 bhp,4.0
Toyota,Corolla,,1400000.0,13534,Petrol,Dealer,Manual,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5.0
Toyota,,2017.0,1450000.0,7000,Petrol,Dealer,Automatic,Second Owner,14.53 kmpl,1794 CC,138.1 bhp,5.0
Mercedes-Benz,GLA,2017.0,2700000.0,23000,Diesel,Dealer,Automatic,First Owner,17.9 kmpl,2143 CC,136 bhp,5.0
Toyota,Innova,,1925000.0,43000,Diesel,Dealer,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,8.0
Kia,Seltos,2020.0,1900000.0,5000,Diesel,Dealer,Automatic,First Owner,17.8 kmpl,1493 CC,113.4 bhp,5.0
Maruti,Ciaz,2017.0,844999.0,70000,Diesel,Dealer,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5.0
Skoda,Rapid,2016.0,650000.0,99000,Diesel,Dealer,Automatic,First Owner,21.66 kmpl,1498 CC,103.52 bhp,5.0
Maruti,Swift,2018.0,750000.0,15000,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0
,6,2018.0,6000000.0,28156,Diesel,Dealer,Automatic,First Owner,17.09 kmpl,2993 CC,261.4 bhp,4.0
Honda,Jazz,2015.0,610000.0,30000,Petrol,Dealer,Manual,First Owner,18.7 kmpl,1199 CC,88.7 bhp,5.0
Toyota,Fortuner,2018.0,2940000.0,100000,Diesel,Dealer,Automatic,First Owner,12.9 kmpl,2755 CC,174.5 bhp,
Hyundai,Creta,2017.0,1150000.0,63309,Diesel,Dealer,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5.0
Toyota,Innova,2016.0,1825000.0,94000,Diesel,Dealer,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,7.0
Hyundai,Elite,2018.0,890000.0,29000,Petrol,Dealer,Automatic,First Owner,17.4 kmpl,1197 CC,81.86 bhp,5.0
Tata,Indigo,2017.0,385000.0,155000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69.01 bhp,5.0
Maruti,Celerio,2016.0,400000.0,35000,Petrol,Individual,Automatic,First Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
Hyundai,Grand,2018.0,550000.0,50000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5.0
Chevrolet,Tavera,2010.0,270000.0,185000,Diesel,Individual,Manual,First Owner,14.8 kmpl,2499 CC,80 bhp,7.0
Tata,Indigo,2013.0,200000.0,175000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,5.0
Renault,KWID,2016.0,310000.0,11500,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
Hyundai,Xcent,2019.0,,3000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 CC,73.97 bhp,5.0
Chevrolet,Sail,2015.0,480000.0,80000,Diesel,Individual,Manual,Second Owner,22.1 kmpl,1248 CC,74 bhp,5.0
Maruti,Alto,2005.0,,40000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Maruti,Alto,2005.0,80000.0,40000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Maruti,Ritz,2015.0,350000.0,90000,Diesel,Individual,Manual,First Owner,23.2 kmpl,1248 CC,73.94 bhp,5.0
Maruti,SX4,2017.0,600000.0,100000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,5.0
Mahindra,Scorpio,2011.0,350000.0,120000,Diesel,Individual,Manual,Third Owner,13.5 kmpl,2179 CC,115 bhp,5.0
Maruti,Vitara,2018.0,770000.0,50000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Mahindra,Verito,2012.0,350000.0,25000,Diesel,Individual,Manual,First Owner,21.03 kmpl,1461 CC,65 bhp,5.0
Mahindra,Scorpio,2011.0,600000.0,50000,Diesel,Individual,Manual,Third Owner,12.05 kmpl,2179 CC,120 bhp,8.0
Mahindra,TUV,2016.0,750000.0,71000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0
Maruti,,2016.0,340000.0,40000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
Hyundai,Elite,2018.0,650000.0,31800,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,5.0
Hyundai,i10,2014.0,300000.0,65000,Petrol,Individual,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
Maruti,Alto,2014.0,204999.0,15000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5.0
Mahindra,Verito,2012.0,254999.0,70000,Diesel,Individual,Manual,Second Owner,20.8 kmpl,1461 CC,65 bhp,5.0
Ford,Figo,2017.0,650000.0,5000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0
Hyundai,EON,2017.0,280000.0,50000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
Tata,Indica,2011.0,100000.0,80000,Diesel,Individual,Manual,First Owner,17.2 kmpl,1396 CC,53.5 bhp,5.0
Chevrolet,Tavera,2014.0,575000.0,70000,Diesel,Individual,Manual,Second Owner,13.58 kmpl,2499 CC,72.4 bhp,9.0
Maruti,Vitara,2017.0,780000.0,40000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Mahindra,Bolero,2013.0,467000.0,157000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0
Mahindra,Scorpio,2015.0,1050000.0,90000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,7.0
Hyundai,i10,2011.0,225000.0,80000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0
Mahindra,Verito,2012.0,260000.0,70000,Diesel,Individual,Manual,Second Owner,21.03 kmpl,1461 CC,65 bhp,5.0
Chevrolet,Spark,2009.0,90000.0,50000,Petrol,Individual,Manual,Second Owner,16.0 kmpl,995 CC,63 bhp,5.0
Ford,Figo,2012.0,280000.0,60000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0
Mahindra,Verito,2014.0,350000.0,106000,Diesel,Individual,Manual,Second Owner,20.8 kmpl,1461 CC,65 bhp,5.0
Mahindra,Scorpio,2006.0,229999.0,80000,Diesel,Individual,Manual,Second Owner,10.5 kmpl,2179 CC,120 bhp,7.0
Mahindra,Bolero,2016.0,550000.0,80000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,63 bhp,9.0
Toyota,Innova,2013.0,850000.0,110000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100 bhp,8.0
Mahindra,,2011.0,370000.0,120000,Diesel,Individual,Manual,Third Owner,13.6 kmpl,2523 CC,63 bhp,7.0
Maruti,Alto,2013.0,250000.0,27000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
Maruti,Alto,2007.0,95000.0,70000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Maruti,Wagon,2010.0,180000.0,70000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5.0
Mahindra,NuvoSport,2016.0,650000.0,50000,Diesel,Individual,Automatic,First Owner,17.45 kmpl,1493 CC,100 bhp,7.0
Hyundai,Xcent,2018.0,530000.0,60000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 CC,73.97 bhp,5.0
Maruti,Swift,2017.0,610000.0,15000,Petrol,Individual,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0
Mahindra,Xylo,2010.0,265000.0,135000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,8.0
Tata,Tiago,2018.0,560000.0,26300,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,5.0
Mahindra,Bolero,2014.0,430000.0,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0
Maruti,Swift,2017.0,711000.0,35000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0
Maruti,Swift,2015.0,511000.0,30000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5.0
Mahindra,Bolero,2012.0,450000.0,165000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0
Tata,Zest,2015.0,325000.0,50000,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,5.0
Renault,Scala,2013.0,434999.0,120000,Diesel,Individual,Manual,First Owner,21.64 kmpl,1461 CC,84.8 bhp,5.0
Ford,Figo,2010.0,210000.0,100000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,5.0
Maruti,SX4,2007.0,160000.0,120000,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1586 CC,104.68 bhp,5.0
Maruti,Ertiga,2017.0,650000.0,70000,Petrol,Individual,Manual,Second Owner,17.5 kmpl,1373 CC,91.1 bhp,7.0
Hyundai,i20,2014.0,320000.0,72000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
Renault,KWID,2017.0,290000.0,50000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5.0
Tata,Nano,2013.0,80000.0,30000,Petrol,Individual,Manual,First Owner,25.4 kmpl,624 CC,37.48 bhp,4.0
Tata,Safari,2017.0,,20000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,7.0
Maruti,Ciaz,2015.0,600000.0,110000,Diesel,Individual,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,5.0
Renault,KWID,2017.0,340000.0,25000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
Toyota,Innova,2014.0,750000.0,120000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0
Maruti,Alto,2006.0,100000.0,40000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Renault,KWID,2019.0,395000.0,10000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
Maruti,Wagon,2010.0,200000.0,65000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,5.0
Maruti,Eeco,2019.0,450000.0,10000,CNG,Individual,Manual,First Owner,21.94 km/kg,1196 CC,61.7 bhp,5.0
Mahindra,Verito,2012.0,180000.0,110000,Petrol,Individual,Manual,Second Owner,13.87 kmpl,1390 CC,75 bhp,5.0
Mahindra,Bolero,2008.0,190000.0,120000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,7.0
Maruti,Eeco,2015.0,310000.0,72000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,5.0
Maruti,Ritz,2014.0,351000.0,89100,Diesel,Individual,Manual,Second Owner,23.2 kmpl,1248 CC,73.94 bhp,5.0
Chevrolet,Optra,2006.0,190000.0,94000,Petrol,Individual,Manual,Second Owner,17.4 kmpl,1599 CC,104 bhp,5.0
Hyundai,EON,2015.0,225000.0,120000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,5.0
Chevrolet,Spark,2012.0,130000.0,110000,Petrol,Individual,Manual,First Owner,16.2 kmpl,995 CC,62.1 bhp,5.0
,Ciaz,2018.0,1000000.0,50000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.50 bhp,5.0
Tata,Indica,2004.0,55000.0,90000,Diesel,Individual,Manual,Third Owner,16.8 kmpl,1405 CC,62 bhp,5.0
Chevrolet,Sail,2014.0,330000.0,23000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,82.4 bhp,5.0
Maruti,Omni,2013.0,166000.0,50000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,5.0
Mahindra,Xylo,2013.0,200000.0,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,8.0
Maruti,Alto,2011.0,,50000,Petrol,Individual,Manual,Third Owner,20.92 kmpl,998 CC,67.1 bhp,5.0
Maruti,Eeco,2017.0,370000.0,140000,CNG,Individual,Manual,First Owner,21.94 km/kg,1196 CC,61.7 bhp,5.0
Hyundai,Elite,2019.0,720000.0,16000,Petrol,Individual,Automatic,First Owner,17.4 kmpl,1197 CC,81.86 bhp,5.0
Hyundai,i20,2015.0,500000.0,126000,Diesel,Individual,Manual,First Owner,21.19 kmpl,1396 CC,88.73 bhp,5.0
Hyundai,Xcent,2019.0,570000.0,15000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5.0
Maruti,Swift,2010.0,210000.0,200000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1197 CC,85.8 bhp,5.0
Maruti,Alto,2009.0,120000.0,120000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Hyundai,Getz,2005.0,95000.0,120000,Petrol,Individual,Manual,Fourth & Above Owner,15.3 kmpl,1341 CC,83 bhp,5.0
Hyundai,i10,2010.0,196000.0,110000,Petrol,Individual,Automatic,Third Owner,16.95 kmpl,1197 CC,78.9 bhp,5.0
Maruti,Eeco,2016.0,392000.0,38000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,5.0
Tata,Manza,2010.0,150000.0,104000,Petrol,Individual,Manual,First Owner,15.0 kmpl,1368 CC,90 bhp,5.0
Honda,BR-V,2017.0,595000.0,120000,Petrol,Individual,Manual,First Owner,15.4 kmpl,1497 CC,117.3 bhp,7.0
Maruti,Vitara,2018.0,833000.0,35000,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Maruti,Swift,2011.0,280000.0,210000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,5.0
Maruti,800,2003.0,35000.0,35000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0
Maruti,Ritz,2009.0,180000.0,85000,Diesel,Individual,Manual,Third Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0
Maruti,,2012.0,225000.0,80000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
Mercedes-Benz,New,2012.0,1400000.0,50000,Diesel,Individual,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,5.0
Hyundai,i20,2009.0,340000.0,40000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5.0
Toyota,Innova,2010.0,550000.0,216000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,8.0
Maruti,Wagon,2017.0,400000.0,65000,Petrol,Individual,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
Hyundai,Getz,2006.0,90000.0,100000,Petrol,Individual,Manual,Third Owner,15.3 kmpl,1341 CC,83 bhp,5.0
Maruti,Ciaz,2015.0,650000.0,84000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5.0
Toyota,Innova,2012.0,730000.0,210000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,7.0
Chevrolet,Aveo,2010.0,125000.0,60000,Petrol,Individual,Manual,First Owner,15.26 kmpl,1150 CC,74.9 bhp,5.0
Hyundai,Getz,2006.0,81000.0,100000,Petrol,Individual,Manual,Fourth & Above Owner,15.3 kmpl,1341 CC,83 bhp,5.0
Maruti,Swift,2007.0,170000.0,78000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,1298 CC,88.2 bhp,5.0
Honda,City,2002.0,81000.0,161000,Petrol,Individual,Manual,Fourth & Above Owner,13.0 kmpl,1493 CC,100 bhp,5.0
Maruti,Alto,2005.0,95000.0,70000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Tata,Nano,2010.0,55000.0,50000,Petrol,Individual,Manual,Third Owner,26.0 kmpl,624 CC,35 bhp,4.0
Renault,Lodgy,2017.0,880000.0,65000,Diesel,Individual,Manual,First Owner,19.98 kmpl,1461 CC,108.5 bhp,8.0
,KWID,2015.0,200000.0,50000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5.0
Maruti,Wagon,2019.0,480000.0,25000,Petrol,Individual,Manual,First Owner,20.52 kmpl,1197 CC,81.80 bhp,5.0
Mahindra,Bolero,2013.0,480000.0,100000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,9.0
Hyundai,i20,2018.0,700000.0,6000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
Honda,BRV,2016.0,850000.0,72113,Diesel,Individual,Manual,First Owner,21.9 kmpl,1498 CC,98.6 bhp,7.0
Tata,Indigo,2012.0,300000.0,40000,Diesel,Individual,Manual,First Owner,23.57 kmpl,1396 CC,70 bhp,5.0
Hyundai,i20,2017.0,650000.0,8000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
Maruti,Ritz,2010.0,,20000,Petrol,Individual,Manual,First Owner,21.1 kmpl,1197 CC,85.80 bhp,5.0
Tata,Indigo,2014.0,300000.0,45000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0
Maruti,Swift,2014.0,450000.0,80000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0
Maruti,Swift,2014.0,,90000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5.0
Maruti,S-Cross,2018.0,1030000.0,25000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1248 CC,88.5 bhp,5.0
Tata,Manza,2010.0,190000.0,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,5.0
Ford,Fiesta,2006.0,140000.0,60000,Petrol,Individual,Manual,Second Owner,16.6 kmpl,1388 CC,68 bhp,5.0
Hyundai,i20,,800000.0,30000,Diesel,Individual,Manual,First Owner,21.19 kmpl,1396 CC,88.76 bhp,5.0
Mahindra,Scorpio,2007.0,229999.0,120000,Diesel,Individual,Manual,Third Owner,10.5 kmpl,2609 CC,120 bhp,7.0
Tata,Safari,2011.0,300000.0,80000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,7.0
Volkswagen,Vento,2011.0,375000.0,69000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5.0
Chevrolet,Beat,2010.0,,75000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1199 CC,79.4 bhp,5.0
Maruti,,2004.0,60000.0,113000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Hyundai,Xcent,2014.0,420000.0,90000,Diesel,Individual,Manual,Second Owner,24.4 kmpl,1120 CC,71.01 bhp,5.0
Renault,Pulse,2012.0,300000.0,100000,Diesel,Individual,Manual,Third Owner,23.08 kmpl,1461 CC,63.12 bhp,5.0
Tata,Indica,2012.0,150000.0,110000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 CC,74 bhp,5.0
Ford,EcoSport,2015.0,600000.0,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0
Ford,Figo,2011.0,204999.0,100000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,5.0
Hyundai,Xcent,2017.0,625000.0,50000,Diesel,Individual,Manual,First Owner,25.4 kmpl,1186 CC,73.97 bhp,5.0
Fiat,Grande,2011.0,280000.0,200000,Diesel,Individual,Manual,First Owner,20.5 kmpl,1248 CC,91.7 bhp,5.0
Hyundai,Santa,2014.0,1050000.0,146000,Diesel,Individual,Automatic,Second Owner,13.01 kmpl,2199 CC,194.3 bhp,7.0
Chevrolet,Optra,2009.0,250000.0,80000,Petrol,Individual,Manual,Second Owner,12.9 kmpl,1598 CC,102.5 bhp,5.0
Tata,New,2010.0,535000.0,96443,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,7.0
